Month,Date,Home,Pop-up
1,1,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/1.1/billingbanner.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/1.1/popup.webp
1,11,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/11.1/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/11.1/popup.webp
2,2,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/2.2/banner.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/2.2/popup.webp
2,13-14,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/13-14.2/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/13-14.2/popup.webp
3,6-8,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/6-8.3/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/6-8.3/popup.webp
3,23,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/23.3/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/23.3/popup.webp
4,4,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/4.4/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/4.4/popupbanner.webp
4,20-22,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/20-22.4/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/20-22.4/popup.webp
5,4-5,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/5.5/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/5.5/popupbanner.webp
5,31,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/31.5/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/31.5/popup.webp
6,6,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/6.6/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/6.6/popupbanner.webp
6,26,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/26.6/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/26.6/popup.webp
7,7,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/7.7/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/7.7/popup.webp
7,16-18,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/16-18.7/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/16-18.7/popup.webp
7,30,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/30.7/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/30.7/popup.webp
8,3-5,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/3-5.8/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/3-5.8/popup.webp
8,20-22,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/20-22.8/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/20-22.8/popup.webp
9,9,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/9.9/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/9.9/popup.webp
9,27-30,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/27-30.9/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/27-30.9/popup.webp
10,10,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/10.10/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/10.10/popup.webp
10,30-31,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/30-31.10/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/30-31.10/popup.webp
11,11,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/11.11/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/11.11/popup.webp
11,25,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/25.11/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/25.11/popup.webp
11,28,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/28.11/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/28.11/popup.webp
12,12,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/12.12/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/12.12/popup.webp
12,24-25,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/24-25.12/billing.png,https://d2hyio9ps90xn9.cloudfront.net/yuface/sale/24-25.12/popup.webp
