name,en,zh,fr,de,el,hi,in,it,ja,ko,ms,fa,pl,pt,ru,es,th,tr,uk,vi
title_boost_succes,Congratulation!,恭喜！,Félicitation!,Glückwunsch!,Συγχαρητήρια!,बधाई हो!,Selamat!,Complimenti!,おめでとうございます！,축하!,Tahniah!,تبریک می گوییم!,Gratulacje!,Felicitações!,Поздравляем!,Enhorabuena!,ขอแสดงความยินดี!,Tebrik!,Вітаємо!,Xin chúc mừng!
message_boost_success,This device has been boosted,该设备已经提振,Ce dispositif a été renforcé,Dieses Gerät wurde verstärkt,Αυτή η συσκευή έχει ενισχυθεί,इस डिवाइस को बढ़ाया जा चुका है,Perangkat ini telah didorong,Questo dispositivo è stato amplificato,このデバイスは、昇圧されました,이 장치는 증폭 된,Peranti ini telah dirangsang,این دستگاه تقویت شده,To urządzenie zostało wzmocniony,Este dispositivo foi impulsionado,Это устройство стимулировалось,Este dispositivo ha sido impulsado,อุปกรณ์นี้ได้รับแรงหนุน,Bu cihaz yükselmesi olmuştur,Це пристрій стимулювалося,Thiết bị này đã được đẩy mạnh
desc_boost_success,You should keep the application after turnning up the volume to maintain optimum audio status for your phone,你应该保持电源设为调高音量之后，应用程序，以保持您的手机最佳的音频状态,Vous devez garder l'application après turnning le volume pour maintenir le statut audio optimale pour votre téléphone,"Sie sollten die Anwendung halten, nachdem das Volumen turnning bis zum optimalen Audiostatus für Ihr Telefon zu halten",Θα πρέπει να παρακολουθεί την εφαρμογή μετά turnning την ένταση για να διατηρήσει τη βέλτιστη κατάσταση ήχου για το τηλέφωνό σας,आप अपने फोन के लिए अधिकतम ऑडियो स्थिति बनाए रखने के मात्रा turnning के बाद आवेदन रखना चाहिए,Anda harus menjaga aplikasi setelah turnning volume untuk mempertahankan status audio yang optimal untuk ponsel Anda,Si dovrebbe tenere l'applicazione dopo turnning il volume per mantenere lo status audio ottimale per il tuo cellulare,あなたは、あなたの携帯電話に最適なオーディオの状態を維持するために、ボリュームをアップturnning後にアプリケーションを維持する必要があります,당신은 당신의 전화를위한 최적의 오디오 상태를 유지하기 위해 볼륨을 turnning 후 응용 프로그램을 유지해야,Anda perlu menyimpan aplikasi selepas turnning kelantangan untuk mengekalkan status audio optimum untuk telefon anda,شما باید برنامه پس از TURNNING کردن حجم حفظ برای حفظ وضعیت مطلوب صوتی برای گوشی شما,Należy zachować aplikację po turnning zwiększania głośności w celu utrzymania optymalnego stanu dźwięku dla telefonu,Você deve manter o aplicativo após turnning aumentar o volume para manter o status de áudio ideal para o seu telefone,Вы должны держать приложение после Turnning погромче для поддержания оптимального состояния звука для вашего телефона,Debe mantener la aplicación después de turnning subir el volumen para mantener el estado de audio óptima para su teléfono,คุณควรเก็บแอพลิเคชันหลังจาก turnning เสียงเพื่อรักษาสถานะของเสียงที่ดีที่สุดสำหรับโทรศัพท์ของคุณ,Telefonunuz için en uygun ses durumunu korumak için sesini turnning sonra uygulamayı tutmalı,Ви повинні тримати додаток після Turnning голосніше для підтримки оптимального стану звуку для вашого телефону,Bạn nên giữ cho các ứng dụng sau khi turnning tăng âm lượng để duy trì tình trạng âm thanh tối ưu cho điện thoại của bạn
equalizer_message,Adjust your music like a DJ,调整你的音乐像DJ,Ajustez votre musique comme un DJ,Passen Sie Ihre Musik wie ein DJ,Ρυθμίστε τη μουσική σας όπως ένα DJ,एक डीजे की तरह अपने संगीत को समायोजित करें,Sesuaikan musik seperti DJ,Regolare la vostra musica come un DJ,DJのようなあなたの音楽を調整します,DJ가 같은 음악을 조정,Menyesuaikan muzik anda seperti DJ,تنظیم موسیقی خود را مانند یک DJ,Dostosuj swoją muzykę jak DJ,Ajuste a sua música como um DJ,Настройте свою музыку как ди-джей,Ajuste su música como un DJ,ปรับเพลงของคุณเช่นดีเจ,Bir DJ gibi müzik ayarlayın,Налаштуйте свою музику як ді-джей,Điều chỉnh âm nhạc của bạn giống như một DJ
visualizer_message,Play music with visual effects,播放音乐与视觉效果,Lire de la musique avec des effets visuels,Wiedergeben von Musik mit visuellen Effekten,Παίξτε μουσική με οπτικά εφέ,दृश्य प्रभाव के साथ खेलने के संगीत,Bermain musik dengan efek visual,Riprodurre musica con effetti visivi,視覚効果で音楽を再生,시각 효과와 음악 재생,Mainkan muzik dengan kesan visual,پخش موسیقی با جلوه های بصری,Odtwarzanie muzyki z efektami wizualnymi,Reproduzir música com efeitos visuais,Воспроизведение музыки с визуальными эффектами,Reproducir música con efectos visuales,เล่นเพลงกับผลภาพ,Görsel efektlerle Müzik çalma,Відтворення музики з візуальними ефектами,Chơi nhạc với hiệu ứng hình ảnh
musci_message,Great listening music experience ,绝佳的聆听音乐体验,Expérience de la musique d'écoute,Große Musik hören Erfahrung,Μεγάλη εμπειρία ακρόασης μουσικής,ग्रेट सुनने के संगीत का अनुभव,Besar pengalaman mendengarkan musik,Grande esperienza di ascolto della musica,グレートリスニング音楽体験,멋진 음악을 듣고 경험,Great pengalaman muzik mendengar,تجربه گوش دادن به موسیقی بزرگ,Duże doświadczenie słuchania muzyki,Grande experiência ouvir música,Незабываемые впечатления от прослушивания музыки,Gran experiencia de escuchar música,ประสบการณ์การฟังเพลงที่ดี,Büyük bir dinleme müzik deneyimi,Незабутні враження від прослуховування музики,Great experience nhạc nghe
visualizer_cta,experience,经验,vivre,Erfahrung,εμπειρία,अनुभव,pengalaman,Esperienza,経験,경험,pengalaman,تجربه,doświadczenie,experiência,опыт,experiencia,ประสบการณ์,deneyim,досвід,kinh nghiệm
music_cta,Enjoy,享受,Prendre plaisir,Genießen,Απολαμβάνω,का आनंद लें,Nikmati,Godere,楽しい,즐겨,menikmati,لذت بردن,Cieszyć się,Apreciar,Наслаждаться,Disfrutar,สนุก,Zevk almak,насолоджуватися,Thưởng thức
title_result,Result,结果,Résultat,Ergebnis,Αποτέλεσμα,परिणाम,Hasil,Risultato,結果,결과,keputusan,نتیجه,Wynik,Resultado,Результат,Resultado,ผลลัพธ์,Sonuç,результат,Kết quả
cta_boost,Tap to Boost,点击提振,Appuyez sur pour Boost,Tippen Sie auf Boost-,Πατήστε για να Boost,बूस्ट करने के लिए टैप,Tap untuk Meningkatkan,Toccare per Boost,ブーストにタップ,부스트로 눌러,Ketik untuk Boost,شیر به تقویت,"Stuknij, aby zwiększyć",Tap para impulsionar,"Нажмите, чтобы повысить",Toque para Boost,แตะเพื่อเพิ่ม,Boost için dokunun,"Натисніть, щоб підвищити",Bấm để Boost
