Month,Date,Sale-off,en
1,1,50%,Happy New Year!
1,11,30%,Flash Sale
2,2,50%,Flash Sale 2:2
2,13-14,30%,Happy Valentine's Day!
3,6-8,30%,Happy Women's Day!
3,23,30%,Flash Sale
4,4,50%,Flash Sale 4:4
4,20-22,30%,Earth Day!
5,4-5,50%,Flash Sale 5:5
5,31,30%,Goodbye May!
6,6,50%,Flash Sale 6:6 
6,26,30%,Flash Sale
7,7,50%,Flash Sale 7:7
7,16-18,30%,Happy Summer!
7,30,50%,Happy Friendship Day!
8,3-5,30%,Back to School Sales
8,20-22,30%,Big Sale August
9,9,50%,Flash Sale 9:9
9,27-30,30%,Goodbye September!
10,10,50%,Flash Sale 10:10
10,30-31,50%,Happy Halloween!
11,11,50%,Happy Singles' Day!
11,26,70%,Black Friday
11,29,50%,Cyber Monday
12,12,50%,Flash Sale 12:12
12,24-25,50%,Merry Christmas!
